TIME,REP_AIRP,UNIT,TRA_MEAS,AIRLINE,Value,Flag and Footnotes
2018M01,LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES airport,Passenger,Passengers carried,All airlines,:,
2018M01,ZAGREB (AFTN) airport,Passenger,Passengers carried,All airlines,:,
2018M01,DUBROVNIK/CILIPI airport,Passenger,Passengers carried,All airlines,22 167,
2018M01,LOSINJ/LOSINJ I. airport,Passenger,Passengers carried,All airlines,:,
2018M01,OSIJEK/KLISA airport,Passenger,Passengers carried,All airlines,3 179,
2018M01,PULA airport,Passenger,Passengers carried,All airlines,1 404,
2018M01,RIJEKA/KRK airport,Passenger,Passengers carried,All airlines,1 287,
2018M01,BRAC airport,Passenger,Passengers carried,All airlines,:,
2018M01,SPLIT/KASTELA airport,Passenger,Passengers carried,All airlines,32 006,
2018M01,ZAGREB/PLESO airport,Passenger,Passengers carried,All airlines,190 675,
2018M01,ZADAR/ZEMUNIK airport,Passenger,Passengers carried,All airlines,1 300,
2018M01,CROTONE airport,Passenger,Passengers carried,All airlines,:,
2018M01,BARI/PALESE airport,Passenger,Passengers carried,All airlines,317 973,
2018M01,FOGGIA/GINO LISA airport,Passenger,Passengers carried,All airlines,:,
2018M01,TARANTO/GROTTAGLIE airport,Passenger,Passengers carried,All airlines,:,
2018M01,PESCARA airport,Passenger,Passengers carried,All airlines,40 370,
2018M01,BRINDISI/CASALE airport,Passenger,Passengers carried,All airlines,142 714,
2018M01,LAMEZIA TERME airport,Passenger,Passengers carried,All airlines,152 475,
2018M01,COMISO airport,Passenger,Passengers carried,All airlines,27 121,
2018M01,CATANIA/FONTANAROSSA airport,Passenger,Passengers carried,All airlines,553 033,
2018M01,LAMPEDUSA airport,Passenger,Passengers carried,All airlines,5 317,
2018M01,PANTELLERIA airport,Passenger,Passengers carried,All airlines,5 720,
2018M01,PALERMO/PUNTA RAISI airport,Passenger,Passengers carried,All airlines,376 991,
2018M01,REGGIO CALABRIA airport,Passenger,Passengers carried,All airlines,29 134,
2018M01,TRAPANI/BIRGI airport,Passenger,Passengers carried,All airlines,41 953,
2018M01,ALGHERO/FERTILIA airport,Passenger,Passengers carried,All airlines,53 256,
2018M01,CAGLIARI/ELMAS airport,Passenger,Passengers carried,All airlines,232 272,
2018M01,OLBIA/COSTA SMERALDA airport,Passenger,Passengers carried,All airlines,51 059,
2018M01,TORTOLI/ARBATAX airport,Passenger,Passengers carried,All airlines,:,
2018M01,MILANO/MALPENSA airport,Passenger,Passengers carried,All airlines,1 590 363,
2018M01,BERGAMO/ORIO AL SERIO airport,Passenger,Passengers carried,All airlines,932 339,
2018M01,TORINO/CASELLE airport,Passenger,Passengers carried,All airlines,321 160,
2018M01,ALBENGA airport,Passenger,Passengers carried,All airlines,:,
2018M01,GENOVA/SESTRI airport,Passenger,Passengers carried,All airlines,74 218,
2018M01,MILANO/LINATE airport,Passenger,Passengers carried,All airlines,668 118,
2018M01,PARMA airport,Passenger,Passengers carried,All airlines,:,
2018M01,AOSTA airport,Passenger,Passengers carried,All airlines,:,
2018M01,CUNEO/LEVALDIGI airport,Passenger,Passengers carried,All airlines,8 893,
2018M01,BOLZANO airport,Passenger,Passengers carried,All airlines,:,
2018M01,BOLOGNA/BORGO PANIGALE airport,Passenger,Passengers carried,All airlines,603 287,
2018M01,TREVISO/S.ANGELO airport,Passenger,Passengers carried,All airlines,248 200,
2018M01,FORLI airport,Passenger,Passengers carried,All airlines,:,
2018M01,VERONA/BOSCOMANTICO airport,Passenger,Passengers carried,All airlines,:,
2018M01,BRESCIA/MONTICHIARI airport,Passenger,Passengers carried,All airlines,0,
2018M01,TRIESTE/RONCHI DEI LEGIONARI airport,Passenger,Passengers carried,All airlines,48 973,
2018M01,RIMINI/MIRAMARE airport,Passenger,Passengers carried,All airlines,8 134,
2018M01,VERONA/VILLAFRANCA airport,Passenger,Passengers carried,All airlines,191 042,
2018M01,ANCONA/FALCONARA airport,Passenger,Passengers carried,All airlines,21 552,
2018M01,VENEZIA/TESSERA airport,Passenger,Passengers carried,All airlines,565 591,
2018M01,ROMA/CIAMPINO airport,Passenger,Passengers carried,All airlines,464 256,
2018M01,ROMA/FIUMICINO airport,Passenger,Passengers carried,All airlines,2 624 743,
